"","date","New Cases"
"1",2020-04-01,1419.80132520047
"2",2020-05-01,1189.37824641175
"3",2020-06-01,808.736189754106
"4",2020-07-01,809.440441369984
"5",2020-08-01,783.143555125378
"6",2020-09-01,551.281905015921
"7",2020-10-01,1019.89591055713
"8",2020-11-01,940.593784087218
"9",2020-12-01,1029.58981394974
"10",2021-01-01,1144.39774920371
"11",2021-02-01,1044.31797242432
"12",2021-03-01,349.299072841877
"13",2021-04-01,149.037954411943
"14",2021-05-01,1049.61874549968
"15",2021-06-01,587.054347967805
"16",2021-07-01,1583.19007594529
"17",2021-08-01,1486.37586135032
"18",2021-09-01,1360.31677524269
"19",2021-10-01,0
"20",2021-11-01,0
"21",2021-12-01,856.687401239893
"22",2022-01-01,318.285720602069
"23",2022-02-01,905.625142759495
"24",2022-03-01,4149.53107113846
"25",2022-04-01,2860.00069208348
"26",2022-05-01,3089.01409496636
"27",2022-06-01,2751.60501984875
"28",2022-07-01,3359.53934425214
"29",2022-08-01,3448.30921096147
"30",2022-09-01,3870.14365340241
"31",2022-10-01,3298.83774109276
"32",2022-11-01,3080.50608424851
"33",2022-12-01,3655.20451714802
"34",2023-01-01,3936.76091152478
"35",2023-02-01,3376.63576271478
"36",2023-03-01,3255.16970392653
"37",2023-04-01,3103.77039464582
"38",2023-05-01,2427.16963798493
"39",2023-06-01,2624.95484614618
"40",2023-07-01,2809.16717552059
"41",2023-08-01,2829.90756314011
"42",2023-09-01,2806.04875566209
"43",2023-10-01,3439.53150213454
"44",2023-11-01,2584.30579484671
"45",2023-12-01,3518.90736832008
"46",2024-01-01,3012.72470459085
"47",2024-02-01,3327.74500086327
"48",2024-03-01,2633.56504084545
"49",2024-04-01,2390.44958959208
"50",2024-05-01,3053.18977680597
"51",2024-06-01,3173.33564628922
"52",2024-07-01,3090.30709101429
"53",2024-08-01,2620.64225599364
"54",2024-09-01,3072.69568651025
"55",2024-10-01,2696.72163325796
"56",2024-11-01,2893.53230516547
"57",2024-12-01,2889.08445241047
"58",2025-01-01,2697.48582355109
"59",2025-02-01,3012.69852857294
"60",2025-03-01,3163.72126651649
