"","date","Award Reviews","Change of Circ","New Cases"
"1",2020-04-01,1344.77760279064,1344.77760279064,1344.77760279064
"2",2020-05-01,676.721533335694,676.721533335694,676.721533335694
"3",2020-06-01,723.389873666926,723.389873666926,723.389873666926
"4",2020-07-01,1163.1683598573,1163.1683598573,1163.1683598573
"5",2020-08-01,966.122740112241,966.122740112241,966.122740112241
"6",2020-09-01,1447.33931389721,946.762657306471,1599.24635280425
"7",2020-10-01,1616.90297901929,1116.7688164805,1794.54025255656
"8",2020-11-01,1310.57856828114,810.872625792628,1462.48560718818
"9",2020-12-01,1780.07229423423,1280.59328691686,1942.5666606006
"10",2021-01-01,1856.86549219343,1357.61342004719,2019.3598585598
"11",2021-02-01,1347.18252153115,848.135423087865,1433.95162663625
"12",2021-03-01,1422.68518254011,914.110733713987,1585.81581121226
"13",2021-04-01,1785.50603256175,1277.38898659094,1923.05180224447
"14",2021-05-01,1820.03225848778,1312.38786213412,1983.16288715993
"15",2021-06-01,1728.82110804164,1221.3588360831,1868.18666327078
"16",2021-07-01,1766.95769059479,1259.68361384453,1931.96876433157
"17",2021-08-01,1451.03588240667,943.950000864687,1616.04695614345
"18",2021-09-01,1334.73313438813,817.944713883058,1474.36033961534
"19",2021-10-01,1673.38517038145,1156.90412628117,1838.99994911622
"20",2021-11-01,1519.87156612545,1003.68798306208,1659.49877135266
"21",2021-12-01,1669.0280579292,1153.15361431672,1819.03312849977
"22",2022-01-01,1584.60539644297,1069.04009228138,1734.61046701354
"23",2022-02-01,1711.76124739507,1196.47516596331,1785.31421436203
"24",2022-03-01,1769.77440670581,1254.8682891406,1930.38619871521
"25",2022-04-01,1403.28635773149,878.747947133923,1528.07196290188
"26",2022-05-01,1680.39670298748,1156.23825625647,1831.00849499688
"27",2022-06-01,1763.49539242449,1239.54111008032,1889.82162626702
"28",2022-07-01,1458.91021514888,935.166902671112,1611.1139901195
"29",2022-08-01,1690.04224347355,1166.50990086218,1842.24601844417
"30",2022-09-01,1858.05642982779,1334.82145298959,1994.5501334215
"31",2022-10-01,1253.97996889259,721.052270019985,1406.69012927275
"32",2022-11-01,1498.48926519443,965.858932094993,1624.98296878814
"33",2022-12-01,1726.99741190454,1194.51556208944,1863.67651250514
"34",2023-01-01,1483.75780306501,951.42443653425,1620.43690366561
"35",2023-02-01,1762.04310187945,1229.84384928294,1821.62422500258
"36",2023-03-01,1837.09916451501,1305.20011092857,1984.32668801678
"37",2023-04-01,1696.07287055062,1164.4643321352,1817.26079652007
"38",2023-05-01,1731.60916590363,1200.30082649828,1878.83668940539
"39",2023-06-01,1814.89975285929,1283.75199726714,1937.11123934578
"40",2023-07-01,1786.02256954356,1245.04075055837,1924.30777224626
"41",2023-08-01,1799.47684066557,1258.66095828735,1937.76204336827
"42",2023-09-01,1748.80538910998,1208.2072129632,1870.9716053262
"43",2023-10-01,2026.81242651068,1486.43921346971,2175.38418326744
"44",2023-11-01,1946.63833218927,1406.48282537972,2068.80454840548
"45",2023-12-01,2170.65355727456,1630.60620561504,2294.00644114744
"46",2024-01-01,1706.76023149841,1166.82103498892,1830.1131153713
"47",2024-02-01,1384.65573528641,844.817716175324,1456.82456213523
"48",2024-03-01,1621.13195596061,1081.55216973027,1763.63539896884
"49",2024-04-01,1600.85946143058,1061.52957798804,1717.15311595467
"50",2024-05-01,1798.51120648351,1259.43955592171,1941.01464949174
"51",2024-06-01,1586.93873583191,1037.90238317905,1694.00975522087
"52",2024-07-01,1348.76365030312,799.763772156171,1482.07037033837
"53",2024-08-01,1400.31084866416,851.34744502312,1533.61756869941
"54",2024-09-01,1578.54586624785,1029.72993088067,1695.71509701708
"55",2024-10-01,2185.7274244967,1637.0638730125,2329.46896295823
"56",2024-11-01,1527.87483018941,979.358746979079,1645.04406095864
"57",2024-12-01,1620.28347165396,1071.83180618168,1747.60078546777
"58",2025-01-01,1880.76699465406,1332.37974691983,2008.08430846787
"59",2025-02-01,1855.4179998059,1307.08893583507,1904.60783163773
"60",2025-03-01,1564.16869157522,1016.00982898275,1701.98484609931
