date,nc,coc,benefit
2020-04-01,354.5183457960969,5,3
2020-05-01,192.37128989292827,4,3
2020-06-01,301.36615602056145,11,3
2020-07-01,262.929570690487,4,3
2020-08-01,318.963471106234,1,3
2020-09-01,93.7488022801497,7,3
2020-10-01,148.59951047211274,2,3
2020-11-01,166.57526172521213,2,3
2020-12-01,158.12030115853946,4,3
2021-01-01,299.7982831061171,4,3
2021-02-01,91.66261256154272,10,3
2021-03-01,275.78927885285964,7,3
2021-04-01,218.6574060159009,1,3
2021-05-01,205.37224142581482,9,3
2021-06-01,257.5510453289956,9,3
2021-07-01,110.8479108791087,3,3
2021-08-01,319.2738778696009,3,3
2021-09-01,198.66081752430557,4,3
2021-10-01,228.05128017293333,6,3
2021-11-01,280.49809214041034,10,3
2021-12-01,196.72931858583465,10,3
2022-01-01,268.25700007866965,7,3
2022-02-01,236.4658285802356,2,3
2022-03-01,289.4718989649029,5,3
2022-04-01,259.52024649864984,6,3
2022-05-01,412.8833571690932,7,3
2022-06-01,387.86656301505207,1,3
2022-07-01,261.7208778426362,11,3
2022-08-01,241.14540865649587,11,3
2022-09-01,300.62115776980704,5,3
2022-10-01,481.2192447237449,1,3
2022-11-01,213.75305071427624,3,3
2022-12-01,319.3398347969037,6,3
2023-01-01,313.32492611540135,2,3
2023-02-01,537.3213168802508,1,3
2023-03-01,341.4606691255165,8,3
2023-04-01,492.142861883403,2,3
2023-05-01,563.5316545167777,6,3
2023-06-01,427.75168667866416,8,3
2023-07-01,403.17532237466236,1,3
2023-08-01,377.49493032960373,10,3
2023-09-01,460.42212213112015,5,3
2023-10-01,387.4870191613361,10,3
2023-11-01,355.10321240510143,8,3
2023-12-01,420.44456155877475,2,3
2024-01-01,526.5124078142696,1,3
2024-02-01,518.001715705085,6,3
2024-03-01,355.9805949741552,2,3
2024-04-01,301.2003609527631,11,3
2024-05-01,424.3152482348096,2,3
2024-06-01,511.6569798658877,10,3
2024-07-01,420.37880525442813,1,3
2024-08-01,594.3021030256488,10,3
2024-09-01,674.898239441399,5,3
2024-10-01,396.80652778561017,7,3
2024-11-01,490.46499111280707,7,3
2024-12-01,484.05476763404914,1,3
2025-01-01,378.72399187208885,9,3
2025-02-01,445.2190630056522,3,3
2025-03-01,362.9285246581554,3,3
